Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,Vehicle Revenue Hours, Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,Any data questionable
"City of Salisbury, dba: Salisbury Transit",Salisbury,NC,4233,40233,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"214,881",3,MB,DO,3,,0,,12.82,, -   ,,11.32,,0,,0,,129016,,0,,0,,10062,,0,,0,,0,,0,,0,,113938,,0,,0,,No
Walker County Commission,Jasper,AL,4R01-027,4R01-41173,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,PT,1,,0,,8.17,, -   ,,1,,0,,0,,19765,,0,,0,,2419,,0,,0,,0,,0,,0,,2421,,0,,0,,No
"Town of Bluefield/Graham Transit, dba: Graham Transit",Bluefield,VA,3R06-004,3R06-30164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,DO,3,,0,,16.78,, -   ,,5.56,,0,,0,,131091,,0,,0,,7813,,0,,0,,0,,0,,0,,43414,,0,,0,,No
United Keetoowah Band of Cherokee Indians in Oklahoma,Tahlequah,OK,6T13,66176,Tribe,Reduced Reporter,0,3,DR,DO,3,,0,,14.99,, -   ,,2.75,,0,,0,,13763,,0,,0,,918,,0,,0,,0,,0,,0,,2521,,0,,0,,No
Walker County Commission,Jasper,AL,4R01-027,4R01-41173,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,2,,0,,8.15,, -   ,,1.47,,0,,0,,587,,0,,0,,72,,0,,0,,0,,0,,0,,106,,0,,0,,No
City of Richland Center,Richland Center,WI,5R06-056,5R06-50229,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,TX,3,,0,,10.46,, -   ,,2.63,,0,,0,,103433,,0,,0,,9890,,0,,0,,0,,0,,0,,26006,,0,,0,,No
Guide Rock,Guide Rock,NE,7R04-059,7R04-70098,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,40.19,, -   ,,2.2,,0,,0,,20819,,0,,0,,518,,0,,0,,0,,0,,0,,1142,,0,,0,,No
Avera Creighton Hospital,Yankton,NE,7R04-036,7R04-70216,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,28.32,, -   ,,0.82,,0,,0,,101538,,0,,0,,3585,,0,,0,,0,,0,,0,,2939,,0,,0,,No
Social Circle Area Transit,Social Circle,GA,4R03-014,4R03-41155,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,9.58,, -   ,,2.6,,0,,0,,14072,,0,,0,,1469,,0,,0,,0,,0,,0,,3824,,0,,0,,No
Lower Brule Sioux Tribe,Lower Brule,SD,8T06,88176,Tribe,Reduced Reporter,0,3,DR,DO,3,,0,,30.02,, -   ,,0.92,,0,,0,,187307,,0,,0,,6240,,0,,0,,0,,0,,0,,5727,,0,,0,,No
Los Angeles County Dept. of Public Works - Willowbrook et al.,Alhambra,CA,,90279,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"12,150,996",3,DR,PT,3,,0,,9.64,, -   ,,1.64,,0,,0,,20657,,0,,0,,2143,,0,,0,,0,,0,,0,,3509,,0,,0,,No
Municipality of Aguada,Aguada,PR,4114,40114,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"306,196",3,MB,DO,1,,0,,6.92,, -   ,,1.38,,0,,0,,4466,,0,,0,,645,,0,,0,,0,,0,,0,,890,,0,,0,,No
"Town of Chincoteague, dba: Pony Express",Panacea,VA,3R06-012,3R06-30147,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,DO,3,,0,,15.69,, -   ,,12.96,,0,,0,,13998,,0,,0,,892,,0,,0,,0,,0,,0,,11562,,0,,0,,No
Anderson County Council on Aging,Garnett,KS,7R02-056,7R02-70204,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,5.67,, -   ,,3.46,,0,,0,,14387,,0,,0,,2538,,0,,0,,0,,0,,0,,8776,,0,,0,,No
Municipality of Aguada,Aguada,PR,4114,40114,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"306,196",3,DR,DO,2,,0,,8.16,, -   ,,0.76,,0,,0,,8324,,0,,0,,1020,,0,,0,,0,,0,,0,,778,,0,,0,,No
City Of Sidney,Sidney,NE,7R04-010,7R04-70074,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,DO,1,,0,,7.44,, -   ,,2.96,,0,,0,,16441,,0,,0,,2209,,0,,0,,0,,0,,0,,6536,,0,,0,,No
Modoc Transportation Agency,Alturas,CA,9R02-048,9R02-91008,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,PT,1,,0,,37.14,, -   ,,0.99,,0,,0,,60836,,0,,0,,1638,,0,,0,,0,,0,,0,,1628,,0,,0,,No
Winnebago Tribe of Nebraska,Winnebago,NE,7T04,70004,Tribe,Reduced Reporter,0,3,MB,DO,2,,0,,65.03,, -   ,,6.04,,0,,0,,98327,,0,,0,,1512,,0,,0,,0,,0,,0,,9136,,0,,0,,No
"St. Bernard Parish, dba: St. Bernard Transit ",Chalmette,LA,6058,60058,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"899,703",3,MB,DO,3,,0,,16.34,, -   ,,9.93,,0,,0,,61440,,0,,0,,3759,,0,,0,,0,,0,,0,,37333,,0,,0,,No
City Of Sidney,Sidney,NE,7R04-010,7R04-70074,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,2,,0,,29.34,, -   ,,4.62,,0,,0,,33331,,0,,0,,1136,,0,,0,,0,,0,,0,,5250,,0,,0,,No
Modoc Transportation Agency,Alturas,CA,9R02-048,9R02-91008,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,2,,0,,9.1,, -   ,,3.17,,0,,0,,27642,,0,,0,,3038,,0,,0,,0,,0,,0,,9629,,0,,0,,No
Airport Corridor Transportation Association,Pittsburgh,PA,,30990,Private-Non-Profit Corporation,Reduced Reporter,"1,733,853",3,DR,PT,3,,0,,13.01,, -   ,,5.24,,0,,0,,119793,,0,,0,,9209,,0,,0,,0,,0,,0,,48273,,0,,0,,No
Town of Montgomery,Montgomery,NY,2R02-046,2R02-20973,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,DO,3,,0,,11.85,, -   ,,2.09,,0,,0,,40764,,0,,0,,3441,,0,,0,,0,,0,,0,,7200,,0,,0,,No
Gulkana Village Council,Gakona,AK,0T08,85,Tribe,Reduced Reporter,0,3,MB,DO,2,,0,,32.3,, -   ,,0.83,,0,,0,,69583,,0,,0,,2154,,0,,0,,0,,0,,0,,1798,,0,,0,,No
Winnebago Tribe of Nebraska,Winnebago,NE,7T04,70004,Tribe,Reduced Reporter,0,3,DR,DO,1,,0,,30,, -   ,,0.99,,0,,0,,33026,,0,,0,,1101,,0,,0,,0,,0,,0,,1091,,0,,0,,No
"Catholic Community Service, Sitka",Juneau,AK,0R04-017,0R04-00354,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,7.59,, -   ,,2.24,,0,,0,,17648,,0,,0,,2326,,0,,0,,0,,0,,0,,5217,,0,,0,,No
"Tri-County CAP, Inc./Carroll County Transit",Berlin,NH,1R04-011,1R04-10170,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,5.16,, -   ,,0.56,,0,,0,,69564,,0,,0,,13485,,0,,0,,0,,0,,0,,7615,,0,,0,,No
Chattooga County Transit,Summerville,GA,4R03-077,4R03-41012,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,12.09,, -   ,,1.82,,0,,0,,53299,,0,,0,,4407,,0,,0,,0,,0,,0,,8016,,0,,0,,No
City of Socorro,Socorro,NM,6R03-026,6R03-60157,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,16.21,, -   ,,2.55,,0,,0,,38745,,0,,0,,2390,,0,,0,,0,,0,,0,,6085,,0,,0,,No
Pueblo of Santa Ana,Bernalillo,NM,6T11,66152,Tribe,Reduced Reporter,0,3,MB,DO,3,,0,,9.22,, -   ,,2.18,,0,,0,,43644,,0,,0,,4734,,0,,0,,0,,0,,0,,10315,,0,,0,,No
Gulkana Village Council,Gakona,AK,0T08,85,Tribe,Reduced Reporter,0,3,DR,DO,1,,0,,37.77,, -   ,,1.46,,0,,0,,1322,,0,,0,,35,,0,,0,,0,,0,,0,,51,,0,,0,,No
Custer County Council on Aging,Miles City,MT,8R02-040,8R02-80181,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,13.49,, -   ,,2.42,,0,,0,,43537,,0,,0,,3228,,0,,0,,0,,0,,0,,7801,,0,,0,,No
"Senior Citizens of Kodiak, Inc.",Kodiak,AK,0R04-001,0R04-00340,Private-Non-Profit Corporation,Rural Reporter,0,3,MB,PT,3,,0,,8.88,, -   ,,3.67,,0,,0,,32458,,0,,0,,3654,,0,,0,,0,,0,,0,,13403,,0,,0,,No
Gila River Indian Community,Sacaton,AZ,,99436,Tribe,Reduced Reporter,0,3,MB,DO,3,,0,,18.19,, -   ,,6.68,,0,,0,,43450,,0,,0,,2389,,0,,0,,0,,0,,0,,15970,,0,,0,,No
City of Guadalupe,Guadalupe,CA,9R02-042,9R02-91043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,PT,2,,0,,16.37,, -   ,,10.23,,0,,0,,87871,,0,,0,,5368,,0,,0,,0,,0,,0,,54925,,0,,0,,No
Benson County Transportation,Maddock,ND,8R03-036,8R03-80249,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,30.22,, -   ,,0.81,,0,,0,,46412,,0,,0,,1536,,0,,0,,0,,0,,0,,1238,,0,,0,,No
Harlan Co. Public Transit,Alma,NE,7R04-028,7R04-70198,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,21.85,, -   ,,3.01,,0,,0,,16127,,0,,0,,738,,0,,0,,0,,0,,0,,2219,,0,,0,,No
York County,Yorktown,VA,,30203,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"1,439,666",3,MB,DO,3,,0,,8.04,, -   ,,32.53,,0,,0,,15320,,0,,0,,1906,,0,,0,,0,,0,,0,,62000,,0,,0,,No
Riverton Senior Center,Riverton,WY,8R05-007,8R05-80185,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,7.38,, -   ,,2.6,,0,,0,,25041,,0,,0,,3395,,0,,0,,0,,0,,0,,8825,,0,,0,,No
City of Guadalupe,Guadalupe,CA,9R02-042,9R02-91043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,1,,0,,20.42,, -   ,,2.19,,0,,0,,12190,,0,,0,,597,,0,,0,,0,,0,,0,,1309,,0,,0,,No
"Southwestern MN Opportunity Council, Inc.",Worthington,MN,5R04-046,5R04-50471,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,3,MB,DO,1,,0,,12.15,, -   ,,1,,0,,0,,40382,,0,,0,,3323,,0,,0,,0,,0,,0,,3320,,0,,0,,No
"Mineral County Pioneer Council, Inc., dba: Mineral County Transportation Services",Superior,MT,8R02-029,8R02-80173,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,27.44,, -   ,,1.56,,0,,0,,20803,,0,,0,,758,,0,,0,,0,,0,,0,,1180,,0,,0,,No
"Southwestern MN Opportunity Council, Inc.",Worthington,MN,5R04-046,5R04-50471,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,3,DR,DO,2,,0,,3.71,, -   ,,2.33,,0,,0,,25168,,0,,0,,6780,,0,,0,,0,,0,,0,,15825,,0,,0,,No
Cavalier County Senior Meals & Services,Langdon,ND,8R03-038,8R03-80233,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,13.8,, -   ,,2.5,,0,,0,,34507,,0,,0,,2501,,0,,0,,0,,0,,0,,6248,,0,,0,,No
Municipality of Vieques,Vieques,PR,,4R09-44943,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,DO,3,,0,,9.39,, -   ,,0.5,,0,,0,,38396,,0,,0,,4089,,0,,0,,0,,0,,0,,2052,,0,,0,,No
Sitka Tribe of Alaska,Sitka,AK,0T14,14,Tribe,Reduced Reporter,0,3,MB,DO,3,,0,,12.17,, -   ,,3.57,,0,,0,,72862,,0,,0,,5986,,0,,0,,0,,0,,0,,21358,,0,,0,,No
City of Lamar,Lamar,MO,7R03-004,7R03-70211,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,16.8,, -   ,,8.85,,0,,0,,40386,,0,,0,,2404,,0,,0,,0,,0,,0,,21286,,0,,0,,No
Kidder-Emmons County Senior Services,Steele,ND,8R03-008,8R03-80228,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,26.07,, -   ,,2.96,,0,,0,,37117,,0,,0,,1424,,0,,0,,0,,0,,0,,4220,,0,,0,,No
"Louisburg Area Senior Citizens, Inc.",Louisburg,KS,7R02-060,7R02-70184,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,35.51,, -   ,,3.31,,0,,0,,29330,,0,,0,,826,,0,,0,,0,,0,,0,,2735,,0,,0,,No
Project Concern,Atchison,KS,7R02-120,7R02-70267,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,6.9,, -   ,,1.71,,0,,0,,32939,,0,,0,,4771,,0,,0,,0,,0,,0,,8182,,0,,0,,No
City of Whitewater,Whitewater,WI,5R06-048,5R06-50375,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,3,,0,,8.31,, -   ,,2.61,,0,,0,,64136,,0,,0,,7721,,0,,0,,0,,0,,0,,20179,,0,,0,,No
Watonwan County,Saint James,MN,5R04-047,5R04-50448,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,3,DR,DO,3,,0,,19.79,, -   ,,3.62,,0,,0,,130720,,0,,0,,6605,,0,,0,,0,,0,,0,,23938,,0,,0,,No
River Parishes Transit Authority,La Place,LA,6112,60112,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"899,703",3,DR,PT,3,,0,,14.81,, -   ,,1.2,,0,,0,,181676,,0,,0,,12266,,0,,0,,0,,0,,0,,14775,,0,,0,,No
Muckleshoot Indian Tribe,Auburn,WA,,407,Tribe,Reduced Reporter,"3,059,393",3,DR,DO,1,,0,,6.76,, -   ,,0.3,,0,,0,,3449,,0,,0,,510,,0,,0,,0,,0,,0,,152,,0,,0,,No
Dodge County Transit,Eastman,GA,4R03-019,4R03-40956,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,3,,0,,13.51,, -   ,,2.38,,0,,0,,74513,,0,,0,,5517,,0,,0,,0,,0,,0,,13112,,0,,0,,No
City of Beverly,Beverly,MA,1157,10179,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"4,181,019",3,MB,PT,3,,0,,15.07,, -   ,,3.95,,0,,0,,46826,,0,,0,,3108,,0,,0,,0,,0,,0,,12268,,0,,0,,No
Lancaster Co Rural Transit,Lincoln,NE,7R04-037,7R04-70164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,16.08,, -   ,,1.01,,0,,0,,29279,,0,,0,,1821,,0,,0,,0,,0,,0,,1848,,0,,0,,No
"City of Paola/Lakemary Center, dba: Lakemary Center",Paola,KS,7R02-058,7R02-70178,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,31.55,, -   ,,1.82,,0,,0,,27194,,0,,0,,862,,0,,0,,0,,0,,0,,1572,,0,,0,,No
Northern Cheyenne Tribe,Lame Deer,MT,8T07,88116,Tribe,Reduced Reporter,0,3,MB,DO,3,,0,,34.74,, -   ,,2.97,,0,,0,,17961,,0,,0,,517,,0,,0,,0,,0,,0,,1534,,0,,0,,No
Jones County Transit,Gray,GA,4R03-041,4R03-40946,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,3,,0,,9.21,, -   ,,0.72,,0,,0,,39789,,0,,0,,4320,,0,,0,,0,,0,,0,,3123,,0,,0,,No
City of Excelsior Springs,Excelsior Springs,MO,7R03-027,7R03-70162,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,DO,3,,0,,10.89,, -   ,,2.66,,0,,0,,36841,,0,,0,,3384,,0,,0,,0,,0,,0,,9012,,0,,0,,No
Town of Newburgh,Newburgh,NY,2143,20143,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"423,566",3,DR,DO,3,,0,,16.65,, -   ,,2.01,,0,,0,,20728,,0,,0,,1245,,0,,0,,0,,0,,0,,2508,,0,,0,,No
Lincoln County Transportation,Pioche,NV,9R04-005,9R04-91022,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,26.84,, -   ,,1.22,,0,,0,,37627,,0,,0,,1402,,0,,0,,0,,0,,0,,1707,,0,,0,,No
City of South Pasadena,South Pasadena,CA,,90292,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"12,150,996",3,DR,DO,3,,0,,7.72,, -   ,,2.13,,0,,0,,25672,,0,,0,,3324,,0,,0,,0,,0,,0,,7095,,0,,0,,No
Wilkinson County Commission Transit,Irwinton,GA,4R03-034,4R03-40936,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,17.6,, -   ,,1.24,,0,,0,,71227,,0,,0,,4047,,0,,0,,0,,0,,0,,5016,,0,,0,,No
Town of Quartzsite,Quartzsite,AZ,,9R01-99437,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,10.72,, -   ,,0.92,,0,,0,,21972,,0,,0,,2050,,0,,0,,0,,0,,0,,1896,,0,,0,,No
City of Woodlake,Woodlake,CA,9R02-033,9R02-91079,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,9.65,, -   ,,8.9,,0,,0,,16814,,0,,0,,1743,,0,,0,,0,,0,,0,,15510,,0,,0,,No
Community Senior Service Center,Osawatomie,KS,7R02-055,7R02-70245,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,17.85,, -   ,,4.28,,0,,0,,23208,,0,,0,,1300,,0,,0,,0,,0,,0,,5561,,0,,0,,No
Aroostook Band of Micmacs,Presque Isle,ME,1T02,11146,Tribe,Reduced Reporter,0,3,DR,DO,3,,0,,15.24,, -   ,,4.71,,0,,0,,7877,,0,,0,,517,,0,,0,,0,,0,,0,,2437,,0,,0,,No
Hooker Co,Mullen,NE,7R04-032,7R04-70143,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,21.96,, -   ,,0.36,,0,,0,,15768,,0,,0,,718,,0,,0,,0,,0,,0,,260,,0,,0,,No
Inter-Lakes Community Action,Madison,SD,8R04-006,8R04-80282,Private-Non-Profit Corporation,Rural Reporter,0,3,DR,DO,3,,0,,7.85,, -   ,,3.93,,0,,0,,14590,,0,,0,,1859,,0,,0,,0,,0,,0,,7302,,0,,0,,No
City of Bisbee,Bisbee,AZ,9R01-001,9R01-91121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,PT,3,,0,,18.15,, -   ,,8.13,,0,,0,,63372,,0,,0,,3491,,0,,0,,0,,0,,0,,28390,,0,,0,,No
City of Santa Fe Springs,Santa Fe Springs,CA,,90290,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"12,150,996",3,DR,DO,3,,0,,10,, -   ,,3.76,,0,,0,,15045,,0,,0,,1505,,0,,0,,0,,0,,0,,5656,,0,,0,,No
The Mashpee Wampanoag Tribe,Mashpee,MA,,10184,Tribe,Reduced Reporter,"246,695",3,DR,DO,3,,0,,18.45,, -   ,,1.55,,0,,0,,39068,,0,,0,,2117,,0,,0,,0,,0,,0,,3271,,0,,0,,No
McKinney Avenue Transit Authority,Dallas,TX,6133,60133,Private-Non-Profit Corporation,Full Reporter,"5,121,892",3,SR,DO,3,,3,,4.49,,1.25,,39.62,,"73,046",,"66,423",,66351,,72,,"15,102",,14787,,315,,"66,394",,"66,351",,"15,102",,"14,787",,585839,,"733,677",,4.5,,No
Garden County,Oshkosh,NE,,7R04-77078,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,3,,0,,29.04,, -   ,,1.94,,0,,0,,51518,,0,,0,,1774,,0,,0,,0,,0,,0,,3435,,0,,0,,No
City of River Falls,River Falls,WI,5R06-039,5R06-50303,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,3,,0,,11.78,, -   ,,2.99,,0,,0,,105727,,0,,0,,8978,,0,,0,,0,,0,,0,,26862,,0,,0,,No
White Mountain Apache Tribe,Whiteriver,AZ,9T15,99334,Tribe,Reduced Reporter,0,3,MB,DO,3,,0,,31.23,, -   ,,3.07,,0,,0,,61646,,0,,0,,1974,,0,,0,,0,,0,,0,,6068,,0,,0,,No
City of Medford,Medford,WI,5R06-025,5R06-50491,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,3,,0,,5.15,, -   ,,2.25,,0,,0,,25418,,0,,0,,4938,,0,,0,,0,,0,,0,,11111,,0,,0,,No
City of Benson,Benson,AZ,9R01-029,9R01-91114,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,DO,1,,0,,10.43,, -   ,,2.2,,0,,0,,26209,,0,,0,,2513,,0,,0,,0,,0,,0,,5533,,0,,0,,No
Gonzalez County Senior Citizens Association,Gonzales,TX,,6R05-66279,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,PT,3,,0,,10.59,, -   ,,4.81,,0,,0,,17922,,0,,0,,1692,,0,,0,,0,,0,,0,,8139,,0,,0,,No
"Archuleta County Transportation/Mountain Express Transit, dba: Mountain Express Transit",Pagosa Springs,CO,8R01-002,8R01-80280,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,MB,DO,2,,0,,15.67,, -   ,,2.29,,0,,0,,41558,,0,,0,,2652,,0,,0,,0,,0,,0,,6060,,0,,0,,No
Town of Cranberry Isles,Islesford,ME,1R03-027,1R03-10153,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,FB,PT,3,,0,,7,, -   ,,5,,0,,0,,2387,,0,,0,,341,,0,,0,,0,,0,,0,,1706,,0,,0,,No
City of Benson,Benson,AZ,9R01-029,9R01-91114,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,3,DR,DO,2,,0,,15.63,, -   ,,2.7,,0,,0,,31547,,0,,0,,2018,,0,,0,,0,,0,,0,,5455,,0,,0,,No
Twiggs County Transit,Jeffersonville,GA,4R03-049,4R03-41065,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,2,DR,PT,2,,0,,23.23,, -   ,,2.98,,0,,0,,39949,,0,,0,,1720,,0,,0,,0,,0,,0,,5127,,0,,0,,No
Saunders County Transportation,Wahoo,NE,7R04-051,7R04-70253,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,2,DR,DO,2,,0,,15.79,, -   ,,2.32,,0,,0,,14796,,0,,0,,937,,0,,0,,0,,0,,0,,2172,,0,,0,,No
City of Pico Rivera,Pico Rivera,CA,,90288,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"12,150,996",2,DR,PT,2,,0,,7.59,, -   ,,3.07,,0,,0,,13398,,0,,0,,1766,,0,,0,,0,,0,,0,,5428,,0,,0,,No
Chemehuevi Indian Tribe,Havasu Lake,CA,9T27,99316,Tribe,Reduced Reporter,0,2,FB,DO,2,,0,,10.94,, -   ,,71.45,,0,,0,,24868,,0,,0,,2273,,0,,0,,0,,0,,0,,162406,,0,,0,,No
City of Mauston,Mauston,WI,5R06-024,5R06-50513,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,2,DR,PT,2,,0,,8.29,, -   ,,2.41,,0,,0,,66714,,0,,0,,8048,,0,,0,,0,,0,,0,,19362,,0,,0,,No
"City of Bath, dba: Bath CityBus",Bath,ME,1R03-014,1R03-10152,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,2,MB,DO,2,,0,,12.49,, -   ,,4.84,,0,,0,,27791,,0,,0,,2225,,0,,0,,0,,0,,0,,10760,,0,,0,,No
City of Neligh,Neligh,NE,7R04-003,7R04-70125,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,2,DR,DO,2,,0,,2.43,, -   ,,5.07,,0,,0,,3228,,0,,0,,1329,,0,,0,,0,,0,,0,,6738,,0,,0,,No
Seneca Nation of Indians,Salamanca,NY,2T02,22929,Tribe,Reduced Reporter,0,2,MB,PT,2,,0,,35.85,, -   ,,2.19,,0,,0,,203699,,0,,0,,5682,,0,,0,,0,,0,,0,,12463,,0,,0,,No
City of Crawford,Crawford,NE,7R04-014,7R04-70247,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,2,DR,DO,2,,0,,9.99,, -   ,,3.89,,0,,0,,9269,,0,,0,,928,,0,,0,,0,,0,,0,,3612,,0,,0,,No
Ninilchik Village,Ninilchik,AK,,414,Tribe,Reduced Reporter,0,2,MB,DO,2,,0,,21.23,, -   ,,0.36,,0,,0,,26554,,0,,0,,1251,,0,,0,,0,,0,,0,,453,,0,,0,,No
Calhoun County Senior Citizens,Port Lavaca,TX,,6R05-66277,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,2,DR,PT,2,,0,,17.8,, -   ,,1.6,,0,,0,,59016,,0,,0,,3315,,0,,0,,0,,0,,0,,5301,,0,,0,,No
Village of Prairie du Sac,Prairie Du Sac,WI,5R06-035,5R06-50291,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,2,DR,TX,2,,0,,9.32,, -   ,,2.15,,0,,0,,44502,,0,,0,,4773,,0,,0,,0,,0,,0,,10246,,0,,0,,No
"City of Buchanan, dba: Buchanan Dial-A-Ride",Buchanan,MI,5R03-016,50243,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"278,165",2,DR,PT,2,,0,,11.11,, -   ,,2.12,,0,,0,,37494,,0,,0,,3374,,0,,0,,0,,0,,0,,7153,,0,,0,,No
Heard County Transit,Franklin,GA,4R03-039,4R03-40908,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,2,DR,DO,2,,0,,15.51,, -   ,,0.99,,0,,0,,37872,,0,,0,,2442,,0,,0,,0,,0,,0,,2411,,0,,0,,No
